timestamp,open,high,low,close,volume
2022-02-16,149.5000,149.6800,139.5600,146.4900,67330462
2022-01-31,167.5300,167.9100,139.5600,148.0700,131160407
2021-12-31,170.8900,173.3700,155.4700,166.6700,123482461
2021-11-30,167.8000,179.1000,165.8900,169.2400,116774748
2021-10-29,145.2200,167.6300,144.3700,167.2900,132974091
2021-09-30,164.9200,166.6200,144.4200,145.2300,171241972
2021-08-31,169.0600,174.3800,164.2000,164.7400,94300393
2021-07-30,154.0700,167.8700,153.8900,167.5100,114640880
2021-06-30,137.8500,156.4000,126.6800,154.4900,193637955
2021-05-28,133.3700,139.3600,130.4750,136.4600,119864503
2021-04-30,134.6900,138.2400,125.7000,132.6200,146687136
2021-03-31,135.6400,146.6600,125.4400,132.8900,175615393
2021-02-26,135.3700,145.8800,131.5800,134.7800,108986149
2021-01-29,142.8500,147.1000,130.2668,133.5900,99233048
2020-12-31,136.4400,147.9500,134.6700,141.4700,131437991
2020-11-30,122.3700,136.3500,121.1000,134.7000,109093287
2020-10-30,127.7300,131.3800,118.8000,120.0800,113432860
2020-09-30,112.0000,130.3800,110.2100,125.5400,193221875
2020-08-31,98.0300,112.7900,96.5500,111.8900,115986959
2020-07-31,98.5000,100.1800,95.1100,97.6100,114766480
2020-06-30,98.4000,104.6900,93.4400,98.0500,182940336
2020-05-29,85.6700,100.6900,84.1100,98.5800,135705387
2020-04-30,79.4900,91.3900,77.1600,87.1800,165026755
2020-03-31,89.6000,94.9800,60.0000,82.7400,344327432
2020-02-28,99.0000,103.8900,85.1500,89.3800,138894285
2020-01-31,101.3600,105.6200,95.9200,96.3000,122236602
2019-12-31,94.0900,101.7900,91.3100,101.3100,130517657
2019-11-29,90.1800,95.1200,88.7400,93.4900,109125681
2019-10-31,94.1300,96.8700,88.9400,89.5500,156412293
2019-09-30,84.0000,94.0800,83.6200,93.9200,135790982
2019-08-30,85.2600,86.7700,78.1900,84.5000,140453611
2019-07-31,84.9300,89.8700,84.2200,86.0300,117817101
2019-06-28,77.2400,86.8500,77.0800,83.9500,134666373
2019-05-31,87.7300,87.9500,77.0700,77.1400,161722404
2019-04-30,85.0400,90.0000,83.9700,87.8300,117372447
2019-03-29,86.9300,88.5900,80.8900,84.2100,157838185
2019-02-28,81.8300,86.4000,80.8300,85.7300,104258695
2019-01-31,72.7900,81.9500,71.2100,81.8800,153019853
2018-12-31,77.1000,79.0000,66.5300,74.1400,180368616
2018-11-30,75.2300,78.5900,69.5200,75.1200,132668419
2018-10-31,85.1000,85.8500,70.6900,75.0400,199348891
2018-09-28,79.3900,86.0400,79.0000,84.7200,165673751
2018-08-31,76.5000,83.6800,76.5000,82.2000,123705234
2018-07-31,78.5800,79.4800,75.0600,76.9100,122371353
2018-06-29,72.1200,81.0000,71.1500,79.6800,156797635
2018-05-31,67.9800,73.4900,66.6400,71.8000,129565709
2018-04-30,65.9700,70.0000,63.2100,68.3900,159265245
2018-03-29,67.2400,67.6900,63.8900,66.4400,171936251
2018-02-28,67.6700,70.2500,62.0900,67.0300,158347800
2018-01-31,62.8500,68.8300,62.5500,68.2200,152637849
2017-12-29,60.4200,65.1850,59.2400,62.5500,192794503
2017-11-30,55.4200,61.2100,54.5900,60.4200,180645513
2017-10-31,52.1600,57.2500,50.3500,54.9900,222784881
2017-09-29,53.0000,54.1600,51.0300,51.8500,208199466
2017-08-31,59.0000,60.5300,52.0650,52.8100,171986984
2017-07-31,58.3700,60.0000,57.0000,59.0500,156279596
2017-06-30,53.0600,59.7100,50.7900,59.0000,270008214
2017-05-31,55.4300,55.4500,50.8100,52.9900,222565773
2017-04-28,55.7400,56.6900,54.5000,55.4100,137408463
2017-03-31,57.8600,59.0000,53.7600,55.7300,212482061
2017-02-28,52.9800,58.4200,52.0500,57.1600,178368336
2017-01-31,51.9900,54.1200,51.6300,52.9000,175868693
2016-12-30,50.1100,53.3500,50.0600,50.8300,215449732
2016-11-30,50.5000,51.8900,49.0100,50.0700,166094640
2016-10-31,52.5400,53.0600,50.0000,50.1800,190303121
2016-09-30,57.6700,59.1800,52.1200,52.6500,230853452
2016-08-31,55.7300,60.3300,54.2800,57.6400,181025177
2016-07-29,55.0700,58.8650,54.8200,55.5000,166857432
2016-06-30,53.3300,55.6400,51.4750,55.2000,316314998
2016-05-31,59.0900,59.9900,55.1700,55.2200,192223944
2016-04-29,61.2200,61.8500,56.8900,58.9400,178109174
2016-03-31,61.9700,65.4400,57.9500,61.4700,230270451
2016-02-29,61.7500,63.5000,53.6400,61.5900,211294337
2016-01-29,61.1100,62.5900,56.5900,62.0100,201071965
2015-12-31,132.1200,136.3900,62.1500,62.5000,138164828
2015-11-30,131.7300,135.3000,120.4200,132.2800,81560185
2015-10-30,123.1600,133.5200,121.0000,131.0300,88963013
2015-09-30,109.1100,125.9500,108.0300,122.9700,111009743
2015-08-31,115.5100,117.7199,94.5000,111.7500,84870519
2015-07-31,108.9500,115.9400,108.5900,115.2200,63468507
2015-06-30,101.7700,110.3400,100.7800,108.0200,68526210
2015-05-29,99.8800,105.5000,99.4100,101.6700,57038636
2015-04-30,100.0000,102.0000,98.1400,98.8400,56225945
2015-03-31,96.8900,103.7900,95.1800,100.3300,94573647
2015-02-27,92.6800,97.4050,90.6901,97.1200,69465735
2015-01-30,96.5500,97.4500,92.0300,92.2500,65447377
2014-12-31,98.6600,99.5000,92.8300,96.1500,84344488
