timestamp,open,high,low,close,volume
2022-02-16,456.0400,463.7200,425.3300,433.3400,4679787
2022-01-31,562.7800,564.7250,421.3800,454.6500,11768463
2021-12-31,519.6300,567.5700,507.4400,564.3300,7869955
2021-11-30,489.6800,549.5100,478.3600,524.1400,9349092
2021-10-29,479.0200,491.1800,453.3400,488.9700,11556262
2021-09-30,515.0200,525.7728,476.2500,476.9600,7973070
2021-08-31,527.3700,543.5700,500.4300,516.8900,7871420
2021-07-30,466.7400,548.7200,461.2550,525.4900,13396115
2021-06-30,430.3300,469.2500,422.0500,466.4900,12168957
2021-05-28,426.8000,447.5000,414.0000,426.8700,14314851
2021-04-30,370.0000,428.7800,367.2900,422.3400,10676023
2021-03-31,349.5600,377.9750,319.7100,367.7900,17834556
2021-02-26,370.0000,388.0500,331.2200,346.5100,12294838
2021-01-29,383.0000,397.4000,366.5000,370.7600,10321122
2020-12-31,391.0000,404.5700,379.4200,383.4600,11435514
2020-11-30,377.7900,402.3300,369.2200,392.5700,11334517
2020-10-30,427.1100,435.5800,373.4300,378.3200,19541053
2020-09-30,408.4400,428.5410,376.1100,425.2800,12040358
2020-08-31,387.4500,424.7200,381.8700,408.9600,9740019
2020-07-31,371.4200,422.1500,369.6000,386.6100,15581754
2020-06-30,385.5900,394.9900,362.0000,369.4400,15600770
2020-05-29,358.6700,386.5100,356.1000,385.8400,26367847
2020-04-30,312.0100,387.8500,310.3400,361.9300,18712379
2020-03-31,340.2200,353.4200,275.2200,324.0700,23833886
2020-02-28,282.5100,381.8600,270.0800,339.4600,25488202
2020-01-31,293.7900,295.2600,276.8600,281.7500,12504755
2019-12-31,296.2600,298.9800,282.6600,293.7800,15839759
2019-11-29,272.9300,297.1800,265.0100,294.3000,12926115
2019-10-31,245.1300,276.5700,227.5000,271.6200,25482955
2019-09-30,224.5700,249.3900,223.4000,244.5900,16346172
2019-08-30,246.1200,250.9800,220.9000,226.8400,16164642
2019-07-31,279.5800,284.3300,242.4800,244.5300,26680954
2019-06-28,279.7000,290.6000,271.3800,278.2800,10746683
2019-05-31,271.0000,291.4000,264.9900,279.5000,11451938
2019-04-30,258.7100,302.0450,244.7400,270.5800,24425438
2019-03-29,253.1200,260.5100,239.1700,258.1000,17228520
2019-02-28,281.9200,297.1600,247.9600,250.9400,18302155
2019-01-31,245.5900,285.0000,238.4800,283.7300,15234957
2018-12-31,282.4400,284.7000,231.2800,247.9900,10497853
2018-11-30,267.8500,282.4000,241.7000,277.3200,11536025
2018-10-31,296.8600,296.8600,253.0200,268.7900,15622810
2018-09-28,298.9000,299.6600,273.6300,294.8000,10059961
2018-08-31,263.5000,305.3400,262.8300,298.5600,11828022
2018-07-31,278.6400,284.8800,253.6400,262.6600,14142466
2018-06-29,253.4200,293.8100,252.6000,282.1700,13436104
